State,District,University Type,Name of the University,Location (Rural/ Urban),Women's University (Yes/No),List of Attached Colleges and Institutions - State,List of Attached Colleges and Institutions - District,List of Attached Colleges and Institutions - Type,List of Attached Colleges and Institutions - Management,List of Attached Colleges and Institutions - Name,List of Attached Colleges and Institutions - Location (Rural/Urban),List of Attached Colleges and Institutions - Women's College (Yes/No),List of Attached Colleges and Institutions - Whether Autonomous
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sri Venkateswar College of Engineering, Karambadi road, Tirupati (Id: C-26990)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Sai Siddartha College of Education, Tadipatri (Id: C-30918)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Aided,"S.S.B.N. Degree College, Anantapur (Autonomous) (Id: C-30921)",Urban,No,Yes
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Aided,"Jamia Mohammadia Arabic College, Rayadurg (Id: C-30944)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"M.S. Degree College, Gooty (Id: C-30994)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Venkateswara College of Education, Kadiri (Id: C-30979)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"C.V.L.N.R. Degree College, Anantapur (Id: C-31015)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Crescent College of Education, Anantapur (Id: C-30926)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Sir C.V. Raman College of Education, Tadipatri (Id: C-30934)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"REDO Sai Ram College of Education, Penukonda (Id: C-30925)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"SSBN College of Education, Anantapur (Id: C-30943)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"CRESCENT Institute of Management Studies, Anantapur (Id: C-30940)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Dr.B.V. Syamala Rathnam College of Education, Hindupur (Id: C-30962)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Swamy Vivekananda College of Education, Kalyandurg (Id: C-30947)",Rural,No,No
